date,value,pct_1d,pct_1w,pct_1m,pct_3m,pct_6m,pct_1y,normalized,pct_ytd
2000-01-04,1059.04,,,,,,,100.0,-75.4262
2000-01-05,986.31,-6.8675,,,,,,93.1325,-77.1138
2000-01-06,960.79,-2.5874,,,,,,90.7227,-77.706
2000-01-07,948.65,-1.2635,,,,,,89.5764,-77.9877
2000-01-10,987.24,4.0679,,,,,,93.2203,-77.0922
2000-01-11,981.33,-0.5986,-7.3378,,,,,92.6622,-77.2294
2000-01-12,955.01,-2.6821,-3.1734,,,,,90.177,-77.8401
2000-01-13,951.05,-0.4147,-1.0137,,,,,89.803,-77.932
2000-01-14,948.03,-0.3175,-0.0654,,,,,89.5179,-78.0021
2000-01-17,983.27,3.7172,-0.4021,,,,,92.8454,-77.1844
2000-01-18,981.53,-0.177,0.0204,,,,,92.6811,-77.2247
2000-01-19,938.78,-4.3554,-1.6995,,,,,88.6444,-78.2167
2000-01-20,945.9,0.7584,-0.5415,,,,,89.3167,-78.0515
2000-01-21,925.16,-2.1926,-2.4124,,,,,87.3584,-78.5327
2000-01-24,926.77,0.174,-5.7461,,,,,87.5104,-78.4954
2000-01-25,891.22,-3.8359,-9.2009,,,,,84.1536,-79.3203
2000-01-26,885.54,-0.6373,-5.6712,,,,,83.6172,-79.4521
2000-01-27,909.23,2.6752,-3.8767,,,,,85.8542,-78.9024
2000-01-28,941.67,3.5679,1.7846,,,,,88.9173,-78.1496
2000-01-31,943.88,0.2347,1.8462,,,,,89.126,-78.0984
2000-02-01,928.75,-1.603,4.2111,,,,,87.6973,-78.4494
2000-02-02,943.59,1.5978,6.5553,-10.9014,,,,89.0986,-78.1051
2000-02-03,950.22,0.7026,4.5082,-3.6591,,,,89.7247,-77.9512
2000-02-07,973.13,2.411,3.3409,1.2844,,,,91.8879,-77.4196
2000-02-08,961.22,-1.2239,1.8371,1.325,,,,90.7633,-77.696
2000-02-09,976.05,1.5428,5.0929,-1.1335,,,,92.1637,-77.3519
2000-02-10,966.18,-1.0112,2.394,-1.5438,,,,91.2317,-77.5809
2000-02-11,953.22,-1.3414,0.3157,-0.1874,,,,90.0079,-77.8816
2000-02-14,910.87,-4.4428,-6.3979,-4.2248,,,,86.009,-78.8643
2000-02-15,879.7,-3.422,-8.4809,-7.2076,,,,83.0658,-79.5876
2000-02-16,879.5,-0.0227,-9.8919,-10.5536,,,,83.0469,-79.5922
2000-02-17,897.52,2.0489,-7.1063,-8.5591,,,,84.7485,-79.1741
2000-02-18,897.52,0.0,-5.8433,-4.3951,,,,84.7485,-79.1741
2000-02-21,845.32,-5.816,-7.1964,-10.6333,,,,79.8195,-80.3853
2000-02-22,850.02,0.556,-3.3739,-8.1218,,,,80.2633,-80.2763
2000-02-23,880.67,3.6058,0.133,-4.9743,,,,83.1574,-79.5651
2000-02-24,867.37,-1.5102,-3.3593,-2.6761,,,,81.9015,-79.8737
2000-02-25,864.76,-0.3009,-3.6501,-2.3466,,,,81.6551,-79.9342
2000-02-28,819.01,-5.2905,-3.1124,-9.9227,,,,77.3351,-80.9958
2000-02-29,828.38,1.1441,-2.5458,-12.0308,,,,78.2199,-80.7784
2000-03-02,894.66,8.0012,1.5886,-5.2146,,,,84.4784,-79.2404
2000-03-03,894.83,0.019,3.1659,-3.6522,,,,84.4944,-79.2365
2000-03-06,909.33,1.6204,5.154,-3.6308,,,,85.8636,-78.9
2000-03-07,907.34,-0.2188,10.785,-4.5126,,,,85.6757,-78.9462
2000-03-08,915.24,0.8707,10.4855,-5.9488,,,,86.4217,-78.7629
2000-03-09,884.59,-3.3488,-1.1256,-7.9722,,,,83.5275,-79.4741
2000-03-10,891.36,0.7653,-0.3878,-8.6768,,,,84.1668,-79.317
2000-03-13,854.66,-4.1173,-6.0121,-11.5424,,,,80.7014,-80.1686
2000-03-14,846.74,-0.9267,-6.6789,-11.1706,,,,79.9535,-80.3524
2000-03-15,837.53,-1.0877,-8.4907,-8.0516,,,,79.0839,-80.5661
2000-03-16,841.22,0.4406,-4.9028,-4.3742,,,,79.4323,-80.4805
2000-03-17,855.57,1.7059,-4.0152,-2.7209,,,,80.7873,-80.1475
2000-03-20,850.51,-0.5914,-0.4856,-5.2378,,,,80.3095,-80.2649
2000-03-21,863.41,1.5167,1.9687,-3.8005,,,,81.5276,-79.9656
2000-03-22,882.43,2.2029,5.361,4.3901,,,,83.3236,-79.5242
2000-03-23,867.62,-1.6783,3.1383,2.0705,,,,81.9251,-79.8679
2000-03-24,889.24,2.4919,3.9354,0.9731,,,,83.9666,-79.3662
2000-03-27,886.71,-0.2845,4.2563,2.2297,,,,83.7277,-79.4249
2000-03-28,891.29,0.5165,3.2291,3.0679,,,,84.1602,-79.3186
2000-03-29,908.51,1.932,2.9555,10.9278,,,,85.7862,-78.9191
2000-03-30,889.95,-2.0429,2.5737,7.4326,,,,84.0337,-79.3497
2000-03-31,860.94,-3.2597,-3.1825,-3.769,,,,81.2944,-80.0229
2000-04-03,846.44,-1.6842,-4.5415,-5.4077,,,,79.9252,-80.3593
2000-04-04,830.16,-1.9234,-6.8586,-8.7064,-21.612,,,78.388,-80.7371
2000-04-06,804.35,-3.109,-11.4649,-11.3508,-18.4486,,,75.9509,-81.336
2000-04-07,837.38,4.1064,-5.9071,-8.5071,-12.8446,,,79.0697,-80.5696
2000-04-10,870.17,3.9158,1.0721,-1.6301,-8.2728,,,82.1659,-79.8087
2000-04-11,855.05,-1.7376,1.0172,-4.0736,-13.3899,,,80.7382,-80.1595
2000-04-12,837.01,-2.1098,0.8251,-2.0651,-14.7066,,,79.0348,-80.5781
2000-04-14,800.89,-4.3154,-0.4302,-5.4149,-16.1381,,,75.6241,-81.4163
2000-04-17,707.72,-11.6333,-15.484,-15.4992,-25.5854,,,66.8266,-83.5782
2000-04-18,747.3,5.5926,-14.1202,-11.1647,-21.1734,,,70.5639,-82.6598
2000-04-19,755.08,1.0411,-11.6917,-11.7454,-23.2073,,,71.2985,-82.4792
2000-04-20,761.25,0.8171,-9.0513,-10.4949,-22.4425,,,71.8811,-82.3361
2000-04-21,767.16,0.7764,-4.2116,-11.1477,-18.2812,,,72.4392,-82.1989
2000-04-24,747.58,-2.5523,5.6322,-15.2817,-20.9663,,,70.5903,-82.6533
2000-04-25,737.2,-1.3885,-1.3515,-15.0319,-20.3165,,,69.6102,-82.8941
2000-04-26,713.23,-3.2515,-5.5425,-19.7933,-23.0413,,,67.3468,-83.4503
2000-04-27,692.07,-2.9668,-9.0877,-21.9508,-22.3458,,,65.3488,-83.9413
2000-04-28,725.39,4.8145,-5.4448,-18.6135,-18.085,,,68.4951,-83.1682
2000-05-02,752.59,3.7497,0.6702,-17.1622,-17.2278,,,71.0634,-82.537
2000-05-03,752.76,0.0226,2.1107,-15.4155,-20.0612,,,71.0795,-82.5331
2000-05-04,751.29,-0.1953,5.3363,-12.7361,-20.4041,,,70.9407,-82.5672
2000-05-08,770.24,2.5223,11.2951,-9.0024,-17.067,,,72.73,-82.1275
2000-05-09,760.85,-1.2191,4.8884,-8.349,-19.3665,,,71.8434,-82.3454
2000-05-10,759.51,-0.1761,0.9195,-5.5747,-20.0701,,,71.7168,-82.3764
2000-05-12,740.3,-2.5293,-1.6552,-11.5933,-23.9259,,,69.9029,-82.8222
2000-05-15,728.67,-1.571,-3.0108,-16.2612,-24.1932,,,68.8048,-83.0921
2000-05-16,746.77,2.484,-3.0471,-12.6636,-23.4906,,,70.5139,-82.6721
2000-05-17,727.18,-2.6233,-4.4253,-13.1217,-24.7366,,,68.6641,-83.1266
2000-05-18,712.95,-1.9569,-6.1303,-10.9803,-25.2061,,,67.3204,-83.4568
2000-05-19,730.68,2.4868,-1.2995,3.2442,-19.7822,,,68.9946,-83.0454
2000-05-22,691.61,-5.3471,-5.086,-7.4522,-21.3812,,,65.3054,-83.952
2000-05-23,679.76,-1.7134,-8.9733,-9.9751,-22.7106,,,64.1864,-84.227
2000-05-24,674.95,-0.7076,-7.1825,-11.3366,-24.7983,,,63.7322,-84.3386
2000-05-25,699.53,3.6418,-1.8823,-8.8156,-22.0597,,,66.0532,-83.7682
2000-05-26,656.66,-6.1284,-10.1303,-12.1619,-22.3182,,,62.0052,-84.763
2000-05-29,655.93,-0.1112,-5.159,-11.0241,-22.8336,,,61.9363,-84.7799
2000-05-30,691.26,5.3862,1.6918,-3.0803,-21.5075,,,65.2723,-83.9601
2000-05-31,731.88,5.8762,8.4347,5.7523,-15.6208,,,69.1079,-83.0176
2000-06-01,738.49,0.9032,5.5694,1.8059,-14.6017,,,69.732,-82.8642
2000-06-02,760.69,3.0061,15.8423,1.0763,-7.1208,,,71.8283,-82.3491
2000-06-05,794.21,4.4065,21.0815,5.5064,-4.1249,,,74.9934,-81.5713
2000-06-07,822.54,3.5671,18.9914,9.4837,-8.0612,,,77.6684,-80.9139
2000-06-08,800.11,-2.7269,9.3226,3.878,-10.5853,,,75.5505,-81.4344
2000-06-09,836.4,4.5356,13.2581,9.9297,-8.0202,,,78.9772,-80.5923
2000-06-12,845.81,1.1251,11.1898,11.3626,-6.7814,,,79.8657,-80.374
2000-06-13,804.45,-4.89,1.2893,8.6654,-12.105,,,75.9603,-81.3337
2000-06-14,819.27,1.8423,-0.3975,12.4336,-7.3842,,,77.3597,-80.9898
2000-06-15,770.95,-5.8979,-3.6445,3.2379,-13.5086,,,72.7971,-82.111
2000-06-16,759.04,-1.5449,-9.2492,4.3813,-11.1881,,,71.6725,-82.3874
2000-06-19,755.38,-0.4822,-10.6915,5.9513,-10.7896,,,71.3269,-82.4723
2000-06-20,785.32,3.9636,-2.378,7.478,-6.2338,,,74.1539,-81.7776
2000-06-21,781.87,-0.4393,-4.565,13.0507,-7.0552,,,73.8282,-81.8576
2000-06-22,782.24,0.0473,1.4644,15.0759,-8.5709,,,73.8631,-81.849
2000-06-23,778.94,-0.4219,2.6217,15.4071,-8.415,,,73.5515,-81.9256
2000-06-26,791.55,1.6189,4.7883,13.1545,-8.3228,,,74.7422,-81.633
2000-06-27,809.87,2.3144,3.1261,23.3317,-8.2227,,,76.4721,-81.2079
2000-06-28,818.73,1.094,4.7143,24.8197,-5.635,,,77.3087,-81.0023
2000-06-29,818.9,0.0208,4.6865,18.4648,-7.9101,,,77.3247,-80.9984
2000-06-30,821.22,0.2833,5.4279,12.2069,-7.3857,,,77.5438,-80.9445
2000-07-03,835.21,1.7036,5.5158,13.097,-6.292,,,78.8648,-80.6199
2000-07-04,818.53,-1.9971,1.0693,7.6036,-9.9041,,,77.2898,-81.007
2000-07-05,830.4,1.4502,1.4254,4.5567,-6.6914,,,78.4106,-80.7315
2000-07-06,837.63,0.8707,2.2872,1.8346,-2.7075,,,79.0933,-80.5638
2000-07-07,841.74,0.4907,2.4987,5.203,-0.5553,,,79.4814,-80.4684
2000-07-10,851.47,1.1559,1.9468,1.8018,2.567,-19.5998,,80.4002,-80.2426
2000-07-11,836.86,-1.7159,2.2394,-1.0582,4.0418,-15.1524,,79.0206,-80.5816
2000-07-12,839.76,0.3465,1.1272,4.3893,0.2842,-12.5969,,79.2945,-80.5143
2000-07-13,845.75,0.7133,0.9694,3.2321,-2.8063,-10.847,,79.8601,-80.3753
2000-07-14,827.95,-2.1046,-1.6383,7.3935,-3.1694,-16.1349,,78.1793,-80.7884
2000-07-18,812.33,-1.8866,-4.5968,7.0207,-2.9486,-17.2215,,76.7044,-81.1508
2000-07-19,797.3,-1.8502,-4.7272,5.5495,-0.4483,-16.514,,75.2852,-81.4996
2000-07-20,778.9,-2.3078,-7.2473,-0.8175,10.0577,-18.101,,73.5477,-81.9265
2000-07-21,783.06,0.5341,-7.4124,0.1522,4.7852,-17.4014,,73.9405,-81.83
2000-07-24,737.89,-5.7684,-10.8775,-5.6696,-2.2766,-24.9555,,69.6754,-82.8781
2000-07-25,737.64,-0.0339,-9.1945,-5.3021,-3.1015,-24.8479,,69.6518,-82.8839
2000-07-26,743.84,0.8405,-6.7051,-6.0274,-3.0398,-20.7652,,70.2372,-82.74
2000-07-27,727.68,-2.1725,-6.5759,-10.1485,-2.6619,-23.0701,,68.7113,-83.115
2000-07-28,692.65,-4.8139,-11.5457,-15.3995,-6.0431,-25.1319,,65.4036,-83.9279
2000-07-31,705.97,1.923,-4.3259,-13.7905,-1.0179,-23.8247,,66.6613,-83.6188
2000-08-01,727.1,2.993,-1.4289,-11.461,5.0616,-18.4152,,68.6565,-83.1285
2000-08-02,728.33,0.1692,-2.0851,-12.7968,0.4053,-17.753,,68.7727,-83.0999
2000-08-03,722.08,-0.8581,-0.7696,-11.7833,-4.054,-20.5833,,68.1825,-83.245
2000-08-04,710.0,-1.6729,2.5049,-14.499,-5.6804,-24.602,,67.0418,-83.5253
2000-08-07,675.59,-4.8465,-4.3033,-19.3451,-10.076,-28.4242,,63.7927,-84.3237
2000-08-08,666.08,-1.4077,-8.3922,-20.8687,-13.5231,-28.2821,,62.8947,-84.5444
2000-08-09,710.23,6.6283,-2.4851,-16.5878,-6.6531,-24.7311,,67.0636,-83.5199
2000-08-10,729.28,2.6822,0.9971,-12.8552,-3.9802,-23.2515,,68.8624,-83.0779
2000-08-11,722.21,-0.9695,1.7197,-13.998,-2.4436,-25.7848,,68.1948,-83.2419
2000-08-14,733.25,1.5286,8.5348,-13.3018,0.6285,-23.7167,,69.2372,-82.9858
2000-08-16,751.14,2.4398,12.7702,-9.2771,0.5852,-23.0429,,70.9265,-82.5707
2000-08-17,743.49,-1.0185,4.683,-8.4744,2.2429,-23.0485,,70.2041,-82.7482
2000-08-18,728.32,-2.0404,-0.1316,-8.6517,2.1558,-23.5937,,68.7717,-83.1002
2000-08-21,722.58,-0.7881,0.0512,-7.2307,-1.1086,-20.6714,,68.2297,-83.2334
2000-08-22,738.61,2.2184,0.731,-5.6765,6.7957,-16.0384,,69.7433,-82.8614
2000-08-23,719.71,-2.5589,-4.1843,-2.4638,5.8771,-18.1683,,67.9587,-83.3
2000-08-24,718.86,-0.1181,-3.3128,-2.546,6.5057,-19.906,,67.8785,-83.3197
2000-08-25,729.8,1.5219,0.2032,-1.8875,4.3272,-18.6871,,68.9115,-83.0658
2000-08-28,731.81,0.2754,1.2774,0.5676,11.4443,-13.4281,,69.1013,-83.0192
2000-08-29,731.56,-0.0342,-0.9545,5.6176,11.5302,-13.9361,,69.0777,-83.025
2000-08-30,718.93,-1.7264,-0.1084,1.8358,4.0028,-18.3656,,67.8851,-83.3181
2000-08-31,688.62,-4.216,-4.2067,-5.2923,-5.9108,-20.6083,,65.023,-84.0214
2000-09-01,692.19,0.5184,-5.1535,-4.962,-6.2695,-19.9558,,65.3601,-83.9385
2000-09-04,681.3,-1.5733,-6.9021,-5.6476,-10.4366,-16.8142,,64.3318,-84.1912
2000-09-05,679.24,-0.3024,-7.1518,-4.3324,-14.476,-18.0038,,64.1373,-84.239
2000-09-06,676.69,-0.3754,-5.8754,0.1628,-17.7317,-24.3634,,63.8965,-84.2982
2000-09-07,656.37,-3.0029,-4.6833,-1.4578,-17.965,-26.6486,,61.9778,-84.7697
2000-09-08,653.68,-0.4098,-5.5635,-7.9622,-21.846,-28.1141,,61.7238,-84.8321
2000-09-14,650.14,-0.5415,-4.5736,-10.8518,-23.134,-28.3466,,61.3896,-84.9142
2000-09-15,628.2,-3.3747,-7.5143,-13.017,-21.9094,-31.3623,,59.3179,-85.4233
2000-09-18,577.56,-8.0611,-14.6492,-21.2329,-29.5031,-34.7087,,54.5362,-86.5984
2000-09-19,571.17,-1.1064,-12.9805,-23.9596,-25.9135,-35.9215,,53.9328,-86.7467
2000-09-20,606.08,6.112,-7.2818,-18.4818,-20.1518,-29.0852,,57.2292,-85.9366
2000-09-21,595.99,-1.6648,-8.329,-18.1692,-21.1006,-29.6136,,56.2764,-86.1707
2000-09-22,553.25,-7.1713,-11.9309,-23.4341,-29.551,-33.9427,,52.2407,-87.1625
2000-09-25,584.63,5.6719,1.2241,-20.8473,-25.2267,-30.5021,,55.2038,-86.4343
2000-09-26,587.6,0.508,2.8766,-18.356,-24.8824,-31.3206,,55.4842,-86.3654
2000-09-27,599.31,1.9929,-1.117,-16.6305,-23.0608,-29.5352,,56.5899,-86.0937
2000-09-28,605.85,1.0913,1.6544,-16.9841,-23.4603,-29.8306,,57.2075,-85.9419
2000-09-29,613.22,1.2165,10.8396,-16.205,-24.2817,-30.5078,,57.9034,-85.7709
2000-10-02,589.22,-3.9138,0.7851,-19.4571,-28.0324,-32.0878,,55.6372,-86.3278
2000-10-04,598.42,1.5614,1.8414,-16.7624,-26.9239,-32.7043,,56.5059,-86.1144
2000-10-05,606.79,1.3987,1.2481,-11.8832,-26.1112,-31.5684,,57.2962,-85.9201
2000-10-06,608.85,0.3395,0.4952,-12.0401,-27.1022,-31.6889,,57.4907,-85.8723
2000-10-09,589.18,-3.2307,-3.9203,-13.5212,-28.0197,-35.1488,,55.6334,-86.3288
2000-10-10,588.34,-0.1426,-0.1493,-13.3826,-29.1498,-33.8907,,55.5541,-86.3482
2000-10-11,557.18,-5.2963,-6.8915,-17.661,-33.4814,-35.2824,,52.6118,-87.0713
2000-10-12,534.71,-4.0328,-11.8789,-18.5353,-36.4756,-36.8284,,50.4901,-87.5927
2000-10-13,524.6,-1.8908,-13.8376,-19.7467,-38.3889,-36.8074,,49.5354,-87.8273
2000-10-16,550.1,4.8608,-6.633,-15.3875,-34.2662,-31.6094,,51.9433,-87.2356
2000-10-17,512.85,-6.7715,-12.831,-18.362,-38.929,-38.7554,,48.4259,-88.0999
2000-10-18,514.17,0.2574,-7.7192,-10.9755,-39.2054,-40.9115,,48.5506,-88.0693
2000-10-19,515.04,0.1692,-3.6786,-9.8272,-37.7933,-39.7649,,48.6327,-88.0491
2000-10-20,545.97,6.0054,4.0736,-9.9178,-32.7896,-34.7714,,51.5533,-87.3314
2000-10-23,528.37,-3.2236,-3.9502,-11.3458,-33.7301,-34.0271,,49.8914,-87.7398
2000-10-24,545.05,3.1569,6.2786,-1.4822,-30.0231,-22.9851,,51.4664,-87.3527
2000-10-25,542.33,-0.499,5.4768,-7.2353,-30.7422,-27.4281,,51.2096,-87.4159
2000-10-26,523.67,-3.4407,1.6756,-10.8798,-29.0314,-30.6471,,49.4476,-87.8488
2000-10-27,515.34,-1.5907,-5.6102,-14.0111,-30.1366,-32.3034,,48.6611,-88.0421
2000-10-30,504.73,-2.0588,-4.4741,-16.6906,-32.1454,-34.208,,47.6592,-88.2883
2000-10-31,514.48,1.9317,-5.6087,-16.1019,-29.2986,-31.1806,,48.5798,-88.0621
2000-11-01,548.76,6.663,1.1856,-6.8667,-20.7738,-25.5616,,51.8167,-87.2667
2000-11-02,558.1,1.702,6.5748,-6.7377,-20.9456,-21.7503,,52.6987,-87.0499
2000-11-03,560.41,0.4139,8.7457,-7.6435,-22.9253,-19.0241,,52.9168,-86.9963
2000-11-06,556.66,-0.6692,10.2887,-8.5719,-23.5704,-23.2606,,52.5627,-87.0833
2000-11-07,553.35,-0.5946,7.5552,-6.0813,-23.3672,-26.4739,,52.2501,-87.1602
2000-11-08,558.09,0.8566,1.7002,-5.1416,-21.3958,-25.8608,,52.6977,-87.0502
2000-11-09,560.66,0.4605,0.4587,0.6246,-17.0118,-25.3737,,52.9404,-86.9905
2000-11-10,565.18,0.8062,0.8512,5.6984,-15.1483,-26.6229,,53.3672,-86.8856
2000-11-13,538.94,-4.6428,-3.1833,2.7335,-24.1175,-29.1661,,50.8895,-87.4945
2000-11-14,552.99,2.607,-0.0651,0.5254,-24.1732,-27.1912,,52.2162,-87.1685
2000-11-15,557.48,0.8119,-0.1093,8.7024,-22.8092,-24.6954,,52.6401,-87.0643
2000-11-16,555.04,-0.4377,-1.0024,7.9487,-24.3041,-23.8283,,52.4097,-87.1209
2000-11-17,551.26,-0.681,-2.4629,7.0325,-26.6102,-26.1808,,52.0528,-87.2086
2000-11-20,537.4,-2.5142,-0.2857,-1.5697,-27.7193,-26.0981,,50.7441,-87.5303
2000-11-21,531.45,-1.1072,-3.8952,0.5829,-27.0307,-25.4576,,50.1822,-87.6683
2000-11-22,522.33,-1.7161,-6.3052,-4.1684,-27.7132,-28.5145,,49.3211,-87.8799
2000-11-23,514.31,-1.5354,-7.3382,-5.1666,-30.3679,-25.6358,,48.5638,-88.066
2000-11-24,530.84,3.214,-3.7042,1.3692,-26.2425,-21.9077,,50.1246,-87.6825
2000-11-27,554.04,4.3704,3.0964,7.5096,-22.928,-17.9139,,52.3153,-87.1441
2000-11-28,536.94,-3.0864,1.033,6.3816,-26.4264,-23.2428,,50.7006,-87.5409
2000-11-29,516.44,-3.8179,-1.1276,0.381,-29.4298,-21.3535,,48.7649,-88.0166
2000-11-30,509.23,-1.3961,-0.9877,-7.2035,-30.3912,-22.3652,,48.0841,-88.1839
2000-12-01,514.46,1.027,-3.0857,-7.8194,-28.4409,-25.5765,,48.578,-88.0625
2000-12-04,501.73,-2.4744,-9.4416,-10.4709,-27.1398,-31.4464,,47.3759,-88.3579
2000-12-05,516.96,3.0355,-3.7211,-7.1318,-25.3153,-29.9977,,48.814,-88.0045
2000-12-06,517.89,0.1799,0.2808,-6.4082,-23.985,-31.9184,,48.9018,-87.983
2000-12-07,523.78,1.1373,2.8573,-6.1478,-22.8873,-34.0502,,49.458,-87.8463
2000-12-08,534.81,2.1058,3.9556,-4.6106,-20.9668,-34.9807,,50.4995,-87.5903
2000-12-11,554.8,3.7378,10.5774,-1.8366,-15.4745,-30.6595,,52.3871,-87.1265
2000-12-12,543.08,-2.1125,5.0526,0.7682,-16.9196,-35.0693,,51.2804,-87.3985
2000-12-13,557.84,2.7178,7.714,0.8771,-14.1969,-34.0467,,52.6741,-87.056
2000-12-14,547.38,-1.8751,4.5057,-1.8117,-12.8653,-31.956,,51.6864,-87.2987
2000-12-15,534.0,-2.4444,-0.1515,-3.7907,-7.5421,-34.82,,50.423,-87.6091
2000-12-18,539.27,0.9869,-2.7992,-2.175,-5.585,-30.0512,,50.9206,-87.4869
2000-12-19,530.8,-1.5706,-2.2612,-1.2281,-12.4208,-30.0696,,50.1209,-87.6834
2000-12-20,514.21,-3.1255,-7.8212,-3.244,-13.7217,-31.927,,48.5544,-88.0683
2000-12-21,511.9,-0.4492,-6.4818,-1.9968,-7.474,-34.8164,,48.3362,-88.1219
2000-12-22,500.6,-2.2075,-6.2547,-2.6657,-14.3732,-35.974,,47.2692,-88.3842
2000-12-26,504.62,0.803,-6.4254,-4.9393,-14.1218,-35.4904,,47.6488,-88.2909
2001-01-02,520.95,3.2361,-1.8557,-5.9725,-13.075,-33.1206,,49.1908,-87.912
2001-01-03,521.43,0.0921,1.4041,-2.8886,-13.9341,-34.1254,,49.2361,-87.9008
2001-01-04,558.02,7.0172,9.0096,8.0513,-9.0017,-31.0976,,52.6911,-87.0518
2001-01-05,580.85,4.0912,16.0308,14.0644,-1.4205,-29.0548,,54.8468,-86.522
2001-01-08,586.65,0.9985,16.2558,14.0322,-1.9668,-28.3612,,55.3945,-86.3875
2001-01-09,589.92,0.5574,13.2393,17.5772,-2.7802,-28.1654,,55.7033,-86.3116
2001-01-10,560.81,-4.9346,7.5523,8.4823,-7.8903,-32.854,,52.9546,-86.987
2001-01-11,561.79,0.1747,0.6756,8.4767,-4.6488,-31.366,,53.0471,-86.9643
2001-01-12,587.87,4.6423,1.2086,12.236,-0.0799,-29.2064,,55.5097,-86.3592
2001-01-15,599.0,1.8933,2.1052,12.0024,7.5057,-28.4887,,56.5607,-86.1009
2001-01-16,603.42,0.7379,2.2884,8.7635,12.8499,-28.3128,,56.978,-85.9983
2001-01-17,595.83,-1.2578,6.2445,9.7131,13.578,-30.0234,-43.7387,56.2613,-86.1745
2001-01-18,604.05,1.3796,7.5224,8.2837,9.8073,-27.8195,-38.7566,57.0375,-85.9837
2001-01-19,619.78,2.6041,5.4281,13.2266,20.8502,-26.1956,-35.4927,58.5228,-85.6187
2001-01-22,627.45,1.2375,4.7496,17.5,22.0316,-25.8114,-33.8586,59.2471,-85.4407
2001-01-26,591.73,-5.6929,-1.9373,9.728,14.8901,-28.5307,-40.0622,55.8742,-86.2696
2001-01-29,596.54,0.8129,0.1192,12.3851,9.2624,-26.5643,-39.2111,56.3284,-86.158
2001-01-30,591.34,-0.8717,-2.1041,14.9997,11.9178,-25.8322,-38.0802,55.8374,-86.2786
2001-01-31,617.91,4.4932,-0.3017,20.7091,13.3676,-20.6689,-35.0287,58.3462,-85.6621
2001-02-01,612.3,-0.9079,-2.4145,22.3132,12.9017,-21.8068,-35.4134,57.8165,-85.7923
2001-02-02,608.48,-0.6239,2.8307,20.5818,16.1953,-17.5378,-38.1167,57.4558,-85.8809
2001-02-05,579.16,-4.8186,-2.9135,11.1738,12.384,-21.4847,-40.9942,54.6873,-86.5613
2001-02-06,586.58,1.2812,-0.805,12.4945,16.2166,-21.1416,-37.5168,55.3879,-86.3891
2001-02-07,576.19,-1.7713,-6.7518,3.2562,11.9946,-20.8182,-39.0855,54.4068,-86.6302
2001-02-08,591.57,2.6693,-3.3856,1.8456,7.8012,-14.5932,-36.0575,55.8591,-86.2733
2001-02-09,595.47,0.6593,-2.1381,1.5034,6.6959,-15.6522,-35.7478,56.2273,-86.1828
2001-02-12,599.2,0.6264,3.4602,1.5731,6.9217,-17.5904,-32.7663,56.5795,-86.0963
2001-02-13,598.78,-0.0701,2.0799,6.7706,7.5666,-17.7873,-32.3825,56.5399,-86.106
2001-02-14,603.83,0.8434,4.797,7.4832,9.1226,-16.3763,-33.5889,57.0167,-85.9888
2001-02-15,603.63,-0.0331,2.0386,2.6809,8.16,-14.9817,-35.8979,56.9978,-85.9935
2001-02-16,604.92,0.2137,1.587,0.9883,7.8943,-10.4605,-35.9113,57.1197,-85.9635
2001-02-19,596.67,-1.3638,-0.4222,-1.1186,5.5717,-10.4207,-35.7556,56.3406,-86.155
2001-02-20,608.74,2.0229,1.6634,2.1667,12.9513,-14.2897,-35.4868,57.4804,-85.8749
2001-02-21,594.53,-2.3343,-1.5402,-1.576,7.5119,-18.4771,-37.4324,56.1386,-86.2046
2001-02-22,583.41,-1.8704,-3.3497,-5.8682,4.6513,-19.2188,-40.0481,55.0886,-86.4626
2001-02-23,583.52,0.0189,-3.5377,-7.0014,5.1312,-20.42,-39.2938,55.099,-86.4601
2001-02-26,585.32,0.3085,-1.9022,-1.0833,6.1786,-22.0758,-40.0318,55.2689,-86.4183
2001-02-27,577.57,-1.3241,-5.1204,-3.18,7.4749,-22.3164,-40.2213,54.5371,-86.5982
2001-02-28,578.1,0.0918,-2.7635,-2.239,8.7779,-20.6256,-39.3529,54.5872,-86.5859
2001-03-02,559.44,-3.2278,-4.1086,-9.4625,7.1047,-22.5774,-38.5818,52.8252,-87.0188
2001-03-05,565.38,1.0618,-3.1087,-7.6629,9.9298,-23.4535,-35.7304,53.3861,-86.881
2001-03-06,568.15,0.4899,-2.9334,-6.628,7.0285,-21.0585,-35.4008,53.6476,-86.8167
2001-03-07,568.64,0.0862,-1.5461,-1.8164,2.6352,-20.897,-36.6432,53.6939,-86.8054
2001-03-08,579.28,1.8711,0.2041,-1.2445,7.8854,-20.6248,-35.4577,54.6986,-86.5585
2001-03-09,565.76,-2.3339,1.1297,-1.8102,9.55,-22.6903,-33.0715,53.422,-86.8722
2001-03-12,545.05,-3.6606,-3.5958,-7.8638,7.0341,-25.4948,-35.878,51.4664,-87.3527
2001-03-13,527.97,-3.1337,-7.0721,-11.3356,2.626,-26.5617,-40.0491,49.8536,-87.7491
2001-03-14,543.28,2.8998,-4.4598,-9.3324,8.2814,-21.106,-37.3647,51.2993,-87.3938
2001-03-15,541.83,-0.2669,-6.4649,-9.511,4.8108,-21.7224,-37.3433,51.1624,-87.4275
