date,value,pct_1d,pct_1w,pct_1m,pct_3m,pct_6m,pct_1y,normalized,pct_ytd
2000-09-01,0.9764,,,,,,,100.0,-53.8367
2000-09-05,0.9797,0.338,,,,,,100.338,-53.6807
2000-09-06,0.9966,1.725,,,,,,102.0688,-52.8817
2000-09-07,1.0295,3.3012,,,,,,105.4383,-51.3262
2000-09-08,0.9949,-3.3609,,,,,,101.8947,-52.962
2000-09-11,1.0498,5.5181,7.5174,,,,,107.5174,-50.3664
2000-09-12,1.048,-0.1715,6.9715,,,,,107.3331,-50.4515
2000-09-13,1.0107,-3.5592,1.4148,,,,,103.5129,-52.215
2000-09-14,1.0074,-0.3265,-2.1467,,,,,103.1749,-52.371
2000-09-15,1.031,2.3427,3.6285,,,,,105.592,-51.2553
2000-09-18,1.042,1.0669,-0.743,,,,,106.7186,-50.7352
2000-09-19,1.02,-2.1113,-2.6718,,,,,104.4654,-51.7753
2000-09-20,1.0185,-0.1471,0.7717,,,,,104.3118,-51.8462
2000-09-21,1.0,-1.8164,-0.7346,,,,,102.417,-52.7209
2000-09-22,0.9555,-4.45,-7.323,,,,,97.8595,-54.8248
2000-09-25,0.94,-1.6222,-9.7889,,,,,96.272,-55.5577
2000-09-26,0.935,-0.5319,-8.3333,,,,,95.7599,-55.7941
2000-09-27,0.948,1.3904,-6.9219,,,,,97.0914,-55.1794
2000-09-28,0.913,-3.692,-8.7,,,,,93.5068,-56.8342
2000-09-29,0.93,1.862,-2.6688,,,,,95.2478,-56.0304
2000-10-02,0.9605,3.2796,2.1809,,,,,98.3716,-54.5884
2000-10-03,0.9635,0.3123,3.0481,-1.3212,,,,98.6788,-54.4466
2000-10-04,0.9634,-0.0104,1.6245,-1.6638,,,,98.6686,-54.4513
2000-10-05,0.9272,-3.7575,1.5553,-6.9637,,,,94.9611,-56.1628
2000-10-06,0.933,0.6255,0.3226,-9.3735,,,,95.5551,-55.8886
2000-10-09,0.9549,2.3473,-0.583,-4.0205,,,,97.798,-54.8532
2000-10-10,0.996,4.3041,3.3731,-5.1248,,,,102.0074,-52.91
2000-10-11,1.016,2.008,5.4598,-3.0534,,,,104.0557,-51.9644
2000-10-12,1.077,6.0039,16.1562,6.5598,,,,110.3032,-49.0804
2000-10-13,1.017,-5.571,9.0032,0.9529,,,,104.1581,-51.9172
2000-10-16,0.9725,-4.3756,1.8431,-5.6741,,,,99.6006,-54.0211
2000-10-17,0.9602,-1.2648,-3.5944,-7.8503,,,,98.3408,-54.6026
2000-10-18,0.9662,0.6249,-4.9016,-5.2745,,,,98.9553,-54.3189
2000-10-19,0.9489,-1.7905,-11.8942,-6.8336,,,,97.1835,-55.1369
2000-10-20,0.9711,2.3395,-4.5133,-2.89,,,,99.4572,-54.0873
2000-10-23,0.999,2.873,2.7249,4.5526,,,,102.3146,-52.7682
2000-10-24,0.9944,-0.4605,3.5618,5.7872,,,,101.8435,-52.9857
2000-10-25,0.9772,-1.7297,1.1385,4.5134,,,,100.0819,-53.7989
2000-10-26,0.9874,1.0438,4.0573,4.1561,,,,101.1266,-53.3166
2000-10-27,0.9777,-0.9824,0.6796,7.0865,,,,100.1331,-53.7752
2000-10-30,0.965,-1.299,-3.4034,3.7634,,,,98.8324,-54.3757
2000-10-31,0.94,-2.5907,-5.4706,-2.1343,,,,96.272,-55.5577
2000-11-01,0.9409,0.0957,-3.7147,-2.3456,,,,96.3642,-55.5151
2000-11-02,0.9318,-0.9672,-5.6309,-3.28,,,,95.4322,-55.9453
2000-11-03,0.9217,-1.0839,-5.7277,-0.5932,,,,94.3978,-56.4229
2000-11-06,0.9169,-0.5208,-4.9845,-1.7256,,,,93.9062,-56.6498
2000-11-07,0.9493,3.5336,0.9894,-0.5865,,,,97.2245,-55.118
2000-11-08,0.9593,1.0534,1.9556,-3.6847,,,,98.2487,-54.6452
2000-11-09,1.02,6.3275,9.4655,0.3937,,,,104.4654,-51.7753
2000-11-10,1.0075,-1.2255,9.3089,-6.4531,,,,103.1852,-52.3663
2000-11-13,1.0163,0.8734,10.8409,-0.0688,,,,104.0864,-51.9503
2000-11-14,1.0541,3.7194,11.0397,8.3907,,,,107.9578,-50.1631
2000-11-15,1.0771,2.182,12.2798,12.1745,,,,110.3134,-49.0757
2000-11-16,1.056,-1.959,3.5294,9.2941,,,,108.1524,-50.0733
2000-11-17,1.0788,2.1591,7.0769,13.6895,,,,110.4875,-48.9953
2000-11-20,1.1,1.9652,8.2358,13.2736,,,,112.6587,-47.993
2000-11-21,1.096,-0.3636,3.9749,9.7097,,,,112.2491,-48.1821
2000-11-22,1.0944,-0.146,1.6062,10.0563,,,,112.0852,-48.2578
2000-11-27,1.082,-1.133,2.4621,10.7245,,,,110.8152,-48.844
2000-11-28,1.024,-5.3604,-5.0797,3.7067,,,,104.8751,-51.5862
2000-11-29,1.0325,0.8301,-6.1364,5.605,,,,105.7456,-51.1843
2000-11-30,1.05,1.6949,-4.1971,8.8083,,,,107.5379,-50.357
2000-12-01,0.971,-7.5238,-11.2756,3.2979,,,,99.4469,-54.092
2000-12-04,1.0084,3.8517,-6.8022,7.174,3.2773,,,103.2773,-52.3238
2000-12-05,0.9765,-3.1634,-4.6387,4.7972,-0.3266,,,100.0102,-53.832
2000-12-06,1.0122,3.6559,-1.9661,9.8188,1.5653,,,103.6665,-52.1441
2000-12-07,0.9929,-1.9067,-5.4381,8.2888,-3.5551,,,101.6899,-53.0566
2000-12-08,0.9447,-4.8545,-2.7085,-0.4846,-5.0457,,,96.7534,-55.3354
2000-12-11,0.983,4.0542,-2.5188,2.4706,-6.3631,,,100.6759,-53.5247
2000-12-12,0.9615,-2.1872,-1.5361,-5.7353,-8.2538,,,98.474,-54.5412
2000-12-13,0.91,-5.3562,-10.0968,-9.6774,-9.9634,,,93.1995,-56.976
2000-12-14,0.8885,-2.3626,-10.5147,-12.575,-11.8027,,,90.9975,-57.9925
2000-12-15,0.918,3.3202,-2.8263,-12.9115,-10.9602,,,94.0188,-56.5978
2000-12-18,0.925,0.7625,-5.9003,-14.1213,-11.2284,,,94.7358,-56.2668
2000-12-19,0.9137,-1.2216,-4.9714,-13.4754,-10.4216,,,93.5784,-56.8011
2000-12-20,0.856,-6.315,-5.9341,-20.6526,-15.9548,,,87.669,-59.5291
2000-12-21,0.855,-0.1168,-3.7704,-22.2727,-14.5,,,87.5666,-59.5764
2000-12-22,0.878,2.6901,-4.3573,-19.8905,-8.1109,,,89.9222,-58.489
2000-12-26,0.934,6.3781,0.973,-14.6564,-0.6383,,,95.6575,-55.8413
2000-12-27,0.9371,0.3319,2.561,-13.3919,0.2246,,,95.975,-55.6948
2000-12-28,0.895,-4.4926,4.5561,-12.5977,-5.5907,,,91.6632,-57.6852
2000-12-29,0.9066,1.2961,6.0351,-12.1937,-0.701,,,92.8513,-57.1368
2001-01-02,0.8658,-4.5003,-1.3895,-17.5429,-6.9032,,,88.6727,-59.0658
2001-01-03,0.8598,-0.693,-7.9443,-11.4521,-10.4841,,,88.0582,-59.3494
2001-01-04,0.8612,0.1628,-8.0995,-14.5974,-10.6175,,,88.2016,-59.2832
2001-01-05,0.8625,0.151,-3.6313,-11.6743,-10.4733,,,88.3347,-59.2218
2001-01-08,0.826,-4.2319,-8.8904,-18.3956,-10.9146,,,84.5965,-60.9475
2001-01-09,0.8062,-2.3971,-6.8838,-18.8035,-13.5906,,,82.5686,-61.8836
2001-01-10,0.8499,5.4205,-1.1514,-10.0349,-10.9959,,,87.0442,-59.8175
2001-01-11,0.84,-1.1648,-2.4617,-14.5473,-15.6627,,,86.0303,-60.2856
2001-01-12,0.8421,0.25,-2.3652,-12.4181,-17.1161,,,86.2454,-60.1863
2001-01-16,0.8408,-0.1544,1.7918,-7.6044,-21.9313,,,86.1122,-60.2477
2001-01-17,0.815,-3.0685,1.0915,-8.2724,-19.8623,,,83.4699,-61.4675
2001-01-18,0.8415,3.2515,-0.9884,-8.3333,-13.4704,,,86.1839,-60.2146
2001-01-19,0.8797,4.5395,4.7262,-4.8973,-8.3837,,,90.0963,-58.4086
2001-01-22,0.879,-0.0796,4.3819,-3.7977,-9.025,,,90.0246,-58.4417
2001-01-23,0.8622,-1.9113,2.5452,0.7243,-9.1369,,,88.304,-59.236
2001-01-24,0.8222,-4.6393,0.8834,-3.8363,-15.3331,,,84.2073,-61.1271
2001-01-25,0.8301,0.9608,-1.3547,-5.4556,-16.9069,,,85.0164,-60.7536
2001-01-26,0.8456,1.8672,-3.8763,-9.4647,-14.9638,,,86.6039,-60.0208
2001-01-29,0.812,-3.9735,-7.6223,-13.3497,-16.9054,,,83.1626,-61.6094
2001-01-30,0.8003,-1.4409,-7.1793,-10.581,-18.9488,,,81.9644,-62.1625
2001-01-31,0.795,-0.6622,-3.3082,-12.3097,-18.6867,,,81.4215,-62.4131
2001-02-01,0.7784,-2.0881,-6.2282,-10.0947,-19.3368,,,79.7214,-63.198
2001-02-02,0.822,5.6012,-2.7909,-4.3964,-12.5532,,,84.1868,-61.1366
2001-02-05,0.8111,-1.326,-0.1108,-5.8175,-13.7953,,,83.0705,-61.6519
2001-02-06,0.8092,-0.2343,1.1121,-6.1797,-13.1573,,,82.8759,-61.7418
2001-02-07,0.828,2.3233,4.1509,0.2421,-10.166,,,84.8013,-60.8529
2001-02-08,0.8418,1.6667,8.1449,4.4158,-8.1906,,,86.2147,-60.2005
2001-02-09,0.8224,-2.3046,0.0487,-3.2357,-13.3677,,,84.2278,-61.1177
2001-02-12,0.8014,-2.5535,-1.1959,-4.5952,-16.4599,,,82.077,-62.1105
2001-02-13,0.79,-1.4225,-2.3727,-6.1869,-22.549,,,80.9095,-62.6495
2001-02-14,0.7725,-2.2152,-6.7029,-8.1232,-23.3251,,,79.1172,-63.4769
2001-02-15,0.759,-1.7476,-9.8361,-6.8712,-25.3173,,,77.7345,-64.1152
2001-02-16,0.7601,0.1449,-7.5754,-9.6732,-27.8911,,,77.8472,-64.0632
2001-02-20,0.748,-1.5919,-6.6633,-14.971,-30.5543,,,76.6079,-64.6352
2001-02-21,0.7425,-0.7353,-6.0127,-15.529,-29.6875,,,76.0447,-64.8953
2001-02-22,0.739,-0.4714,-4.3366,-14.289,-31.498,,,75.6862,-65.0608
2001-02-23,0.741,0.2706,-2.3715,-9.8759,-32.6364,,,75.891,-64.9662
2001-02-26,0.7478,0.9177,-1.6182,-9.9145,-31.7701,,,76.5875,-64.6447
2001-02-27,0.7465,-0.1738,-0.2005,-11.7195,-31.7891,,,76.4543,-64.7062
2001-02-28,0.7225,-3.215,-2.6936,-11.0222,-33.2255,,,73.9963,-65.8409
2001-03-01,0.7155,-0.9689,-3.18,-10.596,-30.127,,,73.2794,-66.1718
2001-03-02,0.727,1.6073,-1.8893,-8.5535,-29.5884,,,74.4572,-65.6281
2001-03-05,0.7408,1.8982,-0.9361,-4.8304,-29.4476,,,75.8705,-64.9756
2001-03-06,0.7303,-1.4174,-2.1701,-11.1557,-24.7889,,,74.7952,-65.4721
2001-03-07,0.741,1.4651,2.5605,-8.6426,-26.5173,-24.109,,75.891,-64.9662
2001-03-08,0.7335,-1.0121,2.5157,-9.3549,-24.8848,-25.1301,,75.1229,-65.3208
2001-03-09,0.7291,-0.5999,0.2889,-11.9444,-27.9688,-26.8413,,74.6723,-65.5288
2001-03-12,0.733,0.5349,-1.0529,-12.9247,-26.1759,-28.8004,,75.0717,-65.3444
2001-03-13,0.729,-0.5457,-0.178,-11.357,-22.8326,-26.7263,,74.662,-65.5335
2001-03-14,0.704,-3.4294,-4.9933,-12.1537,-28.3825,-32.9396,,72.1016,-66.7155
2001-03-15,0.7065,0.3551,-3.681,-10.5696,-26.5211,-32.5859,,72.3576,-66.5973
2001-03-16,0.702,-0.6369,-3.7169,-9.1262,-22.8571,-30.5432,,71.8968,-66.8101
2001-03-19,0.675,-3.8462,-7.9127,-11.0672,-24.0293,-32.9958,,69.1315,-68.0866
2001-03-20,0.6845,1.4074,-6.1043,-9.9461,-25.4357,-33.6082,,70.1045,-67.6375
2001-03-21,0.713,4.1636,1.2784,-4.6791,-22.9189,-31.5739,,73.0233,-66.29
2001-03-22,0.726,1.8233,2.7601,-2.2222,-20.5428,-28.8235,,74.3548,-65.6754
2001-03-23,0.763,5.0964,8.6895,3.2476,-10.8645,-25.0859,,78.1442,-63.9261
2001-03-26,0.76,-0.3932,12.5926,2.5641,-11.1111,-24.0,,77.8369,-64.0679
2001-03-27,0.778,2.3684,13.6596,4.0385,-11.3895,-18.5767,,79.6805,-63.2169
2001-03-28,0.75,-3.599,5.1893,0.4689,-19.7002,-20.2128,,76.8128,-64.5407
2001-03-29,0.78,4.0,7.438,7.9585,-16.7645,-16.5775,,79.8853,-63.1223
2001-03-30,0.7045,-9.6795,-7.6671,-1.5374,-21.2849,-25.6857,,72.1528,-66.6919
2001-04-02,0.674,-4.3293,-11.3158,-7.2902,-25.6563,-26.1774,,69.0291,-68.1339
2001-04-03,0.6956,3.2047,-10.5913,-6.1015,-19.6581,-25.2043,,71.2413,-67.1127
2001-04-04,0.7266,4.4566,-3.12,-0.5066,-15.492,-24.3519,,74.4162,-65.647
2001-04-05,0.7365,1.3625,-5.5769,-0.6073,-14.4798,-23.5599,,75.4302,-65.1789
2001-04-06,0.7283,-1.1134,3.3783,-0.7089,-15.5594,-24.4032,,74.5903,-65.5666
2001-04-09,0.738,1.3319,9.4955,1.2207,-10.6538,-20.4055,,75.5838,-65.108
2001-04-10,0.7914,7.2358,13.7723,7.9673,-1.8358,-15.1768,,81.0528,-62.5833
2001-04-11,0.7959,0.5686,9.5376,9.177,-6.3537,-16.651,,81.5137,-62.3706
2001-04-12,0.7805,-1.9349,5.9742,10.8665,-7.0833,-21.6365,,79.9365,-63.0987
2001-04-16,0.8187,4.8943,12.4125,15.8811,-2.7788,-19.4193,,83.8488,-61.2926
2001-04-17,0.8012,-2.1375,8.5637,14.131,-4.7098,-25.6082,,82.0565,-62.12
2001-04-18,0.7819,-2.4089,-1.2004,15.837,-4.0614,-23.117,,80.0799,-63.0325
2001-04-19,0.7846,0.3453,-1.4198,14.6238,-6.7617,-19.3213,,80.3564,-62.9048
2001-04-20,0.77,-1.8608,-1.3453,7.9944,-12.4702,-19.8084,,78.8611,-63.5951
2001-04-23,0.7515,-2.4026,-8.2081,3.5124,-14.5051,-22.2211,,76.9664,-64.4698
2001-04-24,0.7374,-1.8762,-7.9631,-3.3552,-14.4746,-22.289,,75.5223,-65.1364
2001-04-25,0.753,2.1155,-3.6961,-0.921,-8.4164,-22.4591,,77.12,-64.3988
2001-04-26,0.7762,3.081,-1.0706,-0.2314,-6.4932,-22.3023,,79.4961,-63.302
2001-04-27,0.7574,-2.4221,-1.6364,0.9867,-10.4305,-23.8335,,77.5707,-64.1908
2001-04-30,0.747,-1.3731,-0.5988,-4.2308,-8.0049,-23.5571,,76.5055,-64.6825
2001-05-01,0.7647,2.3695,3.7022,8.5451,-4.4483,-22.5542,,78.3183,-63.8457
2001-05-02,0.7436,-2.7593,-1.2483,10.3264,-6.4654,-23.9439,,76.1573,-64.8433
2001-05-03,0.7658,2.9855,-1.3399,10.092,-1.6187,-20.6425,,78.431,-63.7937
2001-05-04,0.7657,-0.0131,1.0959,5.3812,-6.8492,-18.5426,,78.4207,-63.7984
2001-05-07,0.748,-2.3116,0.1339,1.5614,-7.7796,-20.5016,,76.6079,-64.6352
2001-05-08,0.7489,0.1203,-2.0662,2.8285,-7.4518,-19.6287,,76.7001,-64.5927
2001-05-09,0.7677,2.5104,3.241,4.0244,-7.2826,-16.7083,,78.6256,-63.7038
2001-05-10,0.7682,0.0651,0.3134,-2.9315,-8.7432,-16.2177,,78.6768,-63.6802
2001-05-11,0.7605,-1.0023,-0.6791,-4.4478,-7.5267,-19.8883,,77.8882,-64.0443
2001-05-14,0.7525,-1.0519,0.6016,-3.5874,-6.1018,-21.5574,,77.0688,-64.4225
2001-05-15,0.7663,1.8339,2.3234,-6.4004,-3.0,-24.8725,,78.4822,-63.77
2001-05-16,0.7752,1.1614,0.9769,-3.2451,0.3495,-23.0571,,79.3937,-63.3492
2001-05-17,0.7839,1.1223,2.0437,0.2558,3.2806,-22.8673,,80.2847,-62.9379
2001-05-18,0.8044,2.6151,5.7725,2.5236,5.8282,-23.6885,,82.3843,-61.9687
2001-05-21,0.8122,0.9697,7.9336,5.4805,8.5829,-24.5938,,83.1831,-61.5999
2001-05-22,0.8089,-0.4063,5.5592,7.6381,8.9428,-23.3996,,82.8451,-61.7559
2001-05-23,0.8153,0.7912,5.1729,10.5641,10.3248,-24.4253,,83.5006,-61.4534
2001-05-24,0.7941,-2.6003,1.3012,5.4582,7.166,-27.8091,,81.3294,-62.4557
2001-05-25,0.7818,-1.5489,-2.8096,0.7215,4.5467,-28.6679,,80.0696,-63.0372
2001-05-29,0.7747,-0.9082,-4.6171,2.2841,3.7776,-29.2124,,79.3425,-63.3729
2001-05-30,0.776,0.1678,-4.0672,3.8822,7.4048,-28.281,,79.4756,-63.3114
2001-05-31,0.7795,0.451,-4.391,1.9354,8.9448,-23.877,,79.8341,-63.1459
2001-06-01,0.7592,-2.6042,-4.3949,2.0979,4.4292,-26.4697,,77.755,-64.1057
2001-06-04,0.7592,0.0,-2.8908,-0.8618,2.4838,-27.6952,,77.755,-64.1057
2001-06-05,0.7695,1.3567,-0.6712,0.4963,5.3677,-20.7518,,78.8099,-63.6187
2001-06-06,0.7664,-0.4029,-1.2371,2.4599,3.4278,-23.9984,,78.4924,-63.7653
2001-06-07,0.7592,-0.9395,-2.6042,1.3753,3.5037,-22.2529,,77.755,-64.1057
2001-06-08,0.7665,0.9615,0.9615,-0.1563,5.1296,-24.2739,,78.5027,-63.7606
2001-06-11,0.7827,2.1135,3.0954,1.8875,6.7804,-21.1703,,80.1618,-62.9947
2001-06-12,0.8017,2.4275,4.1845,5.4175,9.9726,-15.1371,,82.1077,-62.0964
2001-06-13,0.8014,-0.0374,4.5668,6.4983,13.8352,-18.4741,,82.077,-62.1105
2001-06-14,0.8328,3.9181,9.6944,8.6781,17.8769,-13.3853,,85.2929,-60.626
2001-06-15,0.8045,-3.3982,4.9576,3.7797,14.6011,-11.5934,,82.3945,-61.964
2001-06-18,0.771,-4.1641,-1.4948,-1.6456,14.2222,-13.2245,,78.9635,-63.5478
2001-06-19,0.7744,0.441,-3.4053,-3.7295,13.1337,-15.6427,,79.3118,-63.3871
2001-06-20,0.7415,-4.2484,-7.4744,-8.7048,3.9972,-19.8378,,75.9422,-64.9426
2001-06-21,0.7424,0.1214,-10.8549,-8.221,2.259,-18.7479,,76.0344,-64.9
2001-06-22,0.7339,-1.1449,-8.7756,-9.9841,-3.8139,-14.264,,75.1639,-65.3019
2001-06-25,0.7389,0.6813,-4.1634,-6.9513,-2.7763,-13.5789,,75.676,-65.0655
2001-06-26,0.7319,-0.9474,-5.4881,-6.3827,-5.9255,-16.6401,,74.959,-65.3964
2001-06-27,0.6994,-4.4405,-5.6777,-9.7199,-6.7467,-25.1178,,71.6305,-66.933
2001-06-28,0.6994,0.0,-5.792,-9.8711,-10.3333,-25.3655,,71.6305,-66.933
2001-06-29,0.7125,1.873,-2.9159,-8.5953,1.1356,-20.3911,,72.9721,-66.3136
2001-07-02,0.7108,-0.2386,-3.803,-6.3751,5.4599,-21.5972,,72.798,-66.394
2001-07-03,0.716,0.7316,-2.1724,-5.6902,2.9327,-17.3019,,73.3306,-66.1482
2001-07-05,0.7239,1.1034,3.503,-5.9259,-0.3716,-15.806,,74.1397,-65.7747
2001-07-06,0.7378,1.9202,5.4904,-3.7317,0.1765,-14.3288,,75.5633,-65.1175
2001-07-09,0.7279,-1.3418,2.1614,-4.1228,-0.0549,-15.6058,,74.5494,-65.5855
2001-07-10,0.7233,-0.632,1.7586,-5.636,-1.9919,-12.4334,,74.0782,-65.803
2001-07-11,0.7059,-2.4056,-1.4106,-9.8122,-10.8036,-12.4411,,72.2962,-66.6257
2001-07-12,0.7067,0.1133,-2.376,-11.8498,-11.2074,-16.849,,72.3781,-66.5879
2001-07-13,0.6874,-2.731,-6.8311,-14.2251,-11.9283,-18.1667,,70.4015,-67.5004
2001-07-16,0.6881,0.1018,-5.4678,-17.3751,-15.9521,-18.2876,,70.4732,-67.4673
2001-07-17,0.6869,-0.1744,-5.0325,-14.6178,-14.2661,-18.304,,70.3503,-67.524
2001-07-18,0.6725,-2.0964,-4.7315,-12.7756,-13.9916,-17.4847,,68.8755,-68.2048
2001-07-19,0.668,-0.6691,-5.4762,-13.7397,-14.8611,-20.6179,,68.4146,-68.4176
2001-07-20,0.6811,1.9611,-0.9165,-8.1457,-11.5455,-22.5759,,69.7562,-67.7982
2001-07-23,0.6839,0.4111,-0.6104,-7.8798,-8.9953,-22.1957,,70.043,-67.6658
2001-07-24,0.6877,0.5556,0.1165,-6.2951,-6.7399,-20.2389,,70.4322,-67.4862
2001-07-25,0.7087,3.0537,5.3829,-4.0872,-5.8831,-13.8044,,72.583,-66.4933
2001-07-26,0.7189,1.4393,7.6198,-1.7762,-7.3821,-13.396,,73.6276,-66.0111
2001-07-27,0.7131,-0.8068,4.6983,1.9588,-5.849,-15.6693,,73.0336,-66.2853
2001-07-30,0.7059,-1.0097,3.2168,0.9294,-5.502,-13.0665,,72.2962,-66.6257
2001-07-31,0.6973,-1.2183,1.396,-2.1333,-8.8139,-12.8702,,71.4154,-67.0323
2001-08-01,0.7043,1.0039,-0.6209,-0.9145,-5.2851,-11.4088,,72.1323,-66.7013
2001-08-02,0.7325,4.004,1.8918,2.3045,-4.3484,-5.8967,,75.0205,-65.3681
2001-08-03,0.7262,-0.8601,1.837,0.3177,-5.1587,-11.6545,,74.3753,-65.6659
2001-08-06,0.7256,-0.0826,2.7908,-1.6536,-2.9947,-10.5412,,74.3138,-65.6943
2001-08-07,0.7343,1.199,5.3062,0.8792,-1.9495,-9.2561,,75.2048,-65.283
2001-08-08,0.7306,-0.5039,3.7342,1.0093,-4.8326,-11.7633,,74.8259,-65.4579
2001-08-09,0.7364,0.7939,0.5324,4.3207,-4.1395,-12.5208,,75.4199,-65.1837
2001-08-10,0.7439,1.0185,2.4373,5.2639,-2.1828,-9.5452,,76.188,-64.8291
2001-08-13,0.7419,-0.2688,2.2464,7.9284,-1.4086,-7.4245,,75.9832,-64.9236
2001-08-14,0.7502,1.1187,2.1653,9.0249,-2.101,-5.038,,76.8333,-64.5312
2001-08-15,0.7452,-0.6665,1.9984,8.4874,-3.87,-3.534,,76.3212,-64.7676
2001-08-16,0.7415,-0.4965,0.6926,10.2602,-5.4089,-2.3057,,75.9422,-64.9426
2001-08-17,0.707,-4.6527,-4.9603,5.8383,-12.1084,-6.9859,,72.4088,-66.5737
2001-08-20,0.7135,0.9194,-3.828,4.757,-12.1522,-4.6123,,73.0746,-66.2664
2001-08-21,0.7299,2.2985,-2.7059,6.7261,-9.7663,-1.697,,74.7542,-65.491
2001-08-22,0.7282,-0.2329,-2.2813,5.8892,-10.6832,-1.4614,,74.5801,-65.5714
2001-08-23,0.7372,1.2359,-0.5799,4.0215,-7.1653,-0.5128,,75.5018,-65.1459
2001-08-24,0.746,1.1937,5.5163,3.7696,-4.5792,-0.2407,,76.4031,-64.7298
2001-08-27,0.7501,0.5496,5.1296,5.1886,-3.1754,0.4823,,76.823,-64.536
2001-08-28,0.7748,3.2929,6.1515,9.7606,-0.1546,7.2388,,79.3527,-63.3682
2001-08-29,0.7657,-1.1745,5.1497,9.8093,-1.7704,7.0161,,78.4207,-63.7984
2001-08-30,0.7525,-1.7239,2.0754,6.8437,-0.8825,3.5076,,77.0688,-64.4225
2001-08-31,0.7663,1.8339,2.7212,4.6143,0.9352,3.4422,,78.4822,-63.77
2001-09-04,0.7611,-0.6786,1.4665,4.8058,-1.0916,4.2174,,77.9496,-64.0159
2001-09-05,0.7671,0.7883,-0.9938,5.7194,0.0913,3.5223,-21.4359,78.5641,-63.7322
2001-09-06,0.7832,2.0988,2.2855,6.6594,3.1612,6.7757,-20.0572,80.213,-62.971
2001-09-07,0.8028,2.5026,6.6844,9.8823,4.7358,10.1084,-19.4461,82.2204,-62.0443
2001-09-10,0.7961,-0.8346,3.8888,8.107,1.712,8.6085,-22.6712,81.5342,-62.3611
2001-09-14,0.8327,4.5974,9.4074,11.9371,3.8668,14.225,-16.3031,85.2827,-60.6307
2001-09-17,0.807,-3.0863,5.2014,8.7748,0.6988,14.6307,-23.1282,82.6505,-61.8458
2001-09-18,0.7443,-7.7695,-4.9668,-0.7865,-10.6268,5.3503,-28.979,76.229,-64.8102
2001-09-19,0.719,-3.3992,-10.4385,-3.5158,-10.6277,2.4216,-28.8612,73.6379,-66.0063
2001-09-20,0.7214,0.3338,-9.3832,-2.7107,-6.4332,6.8741,-28.3899,73.8837,-65.8929
2001-09-21,0.7087,-1.7605,-14.8913,0.2405,-8.484,3.5354,-31.2609,72.583,-66.4933
2001-09-24,0.6106,-13.8422,-24.337,-14.4219,-17.6534,-14.3619,-41.4012,62.5358,-71.1314
2001-09-25,0.6176,1.1464,-17.0227,-15.3857,-16.8103,-14.9311,-39.451,63.2528,-70.8004
2001-09-26,0.6479,4.9061,-9.8887,-11.0272,-11.7182,-15.0852,-36.3868,66.356,-69.3679
2001-09-27,0.6492,0.2007,-10.0083,-11.9371,-12.1397,-14.5789,-35.08,66.4891,-69.3064
2001-09-28,0.6635,2.2027,-6.3779,-11.059,-9.3455,-14.7172,-30.5599,67.9537,-68.6303
2001-10-01,0.6599,-0.5426,8.074,-12.0251,-5.6477,-12.0133,-29.7979,67.585,-68.8005
2001-10-02,0.6466,-2.0155,4.6956,-16.5462,-7.5493,-17.1026,-30.8449,66.2229,-69.4293
2001-10-03,0.6395,-1.098,-1.2965,-16.4816,-10.2456,-9.2264,-32.5422,65.4957,-69.765
2001-10-04,0.6527,2.0641,0.5391,-13.2625,-8.1739,-3.1602,-28.5104,66.8476,-69.1409
2001-10-05,0.6402,-1.9151,-3.5117,-16.4557,-10.5866,-7.9643,-31.1613,65.5674,-69.7319
2001-10-08,0.6447,0.7029,-2.3034,-15.2937,-10.9407,-11.2717,-32.8787,66.0283,-69.5192
2001-10-09,0.6468,0.3257,0.0309,-15.6824,-12.334,-12.1792,-32.8697,66.2433,-69.4199
2001-10-10,0.6463,-0.0773,1.0633,-17.4796,-11.2103,-11.2591,-32.9147,66.1921,-69.4435
2001-10-11,0.6676,3.2957,2.2828,-16.8411,-7.7008,-9.5393,-27.9983,68.3736,-68.4365
2001-10-12,0.6384,-4.3739,-0.2812,-19.8091,-9.5623,-19.3328,-31.5756,65.383,-69.817
2001-10-15,0.6311,-1.1435,-2.1095,-24.2104,-10.6976,-20.7061,-33.9093,64.6354,-70.1622
2001-10-16,0.6267,-0.6972,-3.1076,-22.342,-8.8304,-19.7053,-37.0783,64.1848,-70.3702
2001-10-17,0.621,-0.9095,-3.9146,-16.5659,-9.7515,-24.148,-38.878,63.601,-70.6397
2001-10-18,0.6109,-1.6264,-8.4931,-15.0348,-11.0642,-23.7519,-43.2776,62.5666,-71.1172
2001-10-19,0.6263,2.5209,-1.8954,-13.1827,-6.8699,-19.9002,-38.4169,64.1438,-70.3891
2001-10-22,0.6262,-0.016,-0.7764,-11.641,-6.2575,-20.1886,-35.6093,64.1336,-70.3938
2001-10-23,0.6211,-0.8144,-0.8936,1.7196,-8.8093,-19.3377,-35.3156,63.6112,-70.635
2001-10-24,0.6392,2.9142,2.9308,3.4974,-6.536,-14.9435,-33.8439,65.465,-69.7792
2001-10-25,0.6324,-1.0638,3.5194,-2.3923,-8.0413,-14.2392,-33.3544,64.7685,-70.1007
2001-10-26,0.6236,-1.3915,-0.4311,-3.9433,-12.0079,-17.1846,-35.7842,63.8673,-70.5168
